Dataset_sequence_ID,Suborders,Families,Species.name,Genus,Species,Forest,Savanna,Dessert,Urban,Cave,Wetlands,Habitat.source,Population.status,Conservation.status,Extinction.risk,Geopolotical.endemism,Biogeographic.breadth,Feeding groups,Trophic level,Feeding.group.source,Island.endemism,Current.range,Natural.range,Geographical.range.source,Body.mass,Body.mass.source,Generation.length,Generation.lenght.source,Mining & quarrying,Sacred activities,Tourism and caving activities,Guano extraction,Vandalism,Nest harvesting,Bushmeat hunting & medicine,Intensional killings/Misguided killings,Gating,Scientific research,Agriculture,Urbanisation,Deforestation,Pollution,Road Kills,Diseases and parasitism,"Invasive species, predation",Fire,Drought,Heatwaves,Extreme cold,Storm,Threat.source
Dataset_1_011,Yinpterochiroptera,Pteropodidae,Aproteles bulmerae,Aproteles,bulmerae,1,0,0,1,1,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>,Decreasing,Critically Endangered,Threatened,Endemic,Oceania,Frugivore,Herbivore,"Wilman, H., Belmaker, J., Simpson, J., de la Rosa, C., Rivadeneira, M. M., & Jetz, W. (2014). EltonTraits 1.0: Species_level foraging attributes of the world's birds and mammals: Ecological Archives E095_178. Ecology, 95(7), 2027-2027.",Islandic,2,7,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",600,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",2349.856741,"Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G. G., ... & Rondinini, C. (2013). Generation length for mammals. Nature Conservation, 5, 89.",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>
Dataset_1_012,Yangochiroptera,Vespertilionidae,Arielulus aureocollaris,Arielulus,aureocollaris,1,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>,Unknown,Least Concern,Non threatened,Non endemic,Palearctic,Insectivore,Carnivore,"Wilman, H., Belmaker, J., Simpson, J., de la Rosa, C., Rivadeneira, M. M., & Jetz, W. (2014). EltonTraits 1.0: Species_level foraging attributes of the world's birds and mammals: Ecological Archives E095_178. Ecology, 95(7), 2027-2027.",Non-islandic,6,6,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",14.5,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",2051.666208,"Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G. G., ... & Rondinini, C. (2013). Generation length for mammals. Nature Conservation, 5, 89.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>
Dataset_1_013,Yangochiroptera,Vespertilionidae,Arielulus torquatus,Arielulus,torquatus,1,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>,Stable,Least Concern,Non threatened,Endemic,Palearctic,Insectivore,Carnivore,"Wilman, H., Belmaker, J., Simpson, J., de la Rosa, C., Rivadeneira, M. M., & Jetz, W. (2014). EltonTraits 1.0: Species_level foraging attributes of the world's birds and mammals: Ecological Archives E095_178. Ecology, 95(7), 2027-2027.",Islandic,10,10,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",6.3,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",2051.666208,"Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G. G., ... & Rondinini, C. (2013). Generation length for mammals. Nature Conservation, 5, 89.",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,IUCN Red List 2020-1 <https://www.iucnredlist.org/>
Dataset_1_014,Yangochiroptera,Phyllostomidae,Artibeus amplus,Artibeus,amplus,1,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>,Unknown,Least Concern,Non threatened,Non endemic,Neotropic,Omnivore,Omnivore,"Wilman, H., Belmaker, J., Simpson, J., de la Rosa, C., Rivadeneira, M. M., & Jetz, W. (2014). EltonTraits 1.0: Species_level foraging attributes of the world's birds and mammals: Ecological Archives E095_178. Ecology, 95(7), 2027-2027.",Non-islandic,227,227,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",60,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",1920.4777,"Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G. G., ... & Rondinini, C. (2013). Generation length for mammals. Nature Conservation, 5, 89.",1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>
Dataset_1_015,Yangochiroptera,Phyllostomidae,Artibeus fimbriatus,Artibeus,fimbriatus,1,1,0,0,1,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>,Stable,Least Concern,Non threatened,Non endemic,Neotropic,Frugivore,Herbivore,"Wilman, H., Belmaker, J., Simpson, J., de la Rosa, C., Rivadeneira, M. M., & Jetz, W. (2014). EltonTraits 1.0: Species_level foraging attributes of the world's birds and mammals: Ecological Archives E095_178. Ecology, 95(7), 2027-2027.",Non-islandic,217,217,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",63.9,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",1920.4777,"Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G. G., ... & Rondinini, C. (2013). Generation length for mammals. Nature Conservation, 5, 89.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>
Dataset_1_016,Yangochiroptera,Phyllostomidae,Artibeus fraterculus,Artibeus,fraterculus,1,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>,Decreasing,Least Concern,Non threatened,Non endemic,Neotropic,Omnivore,Omnivore,"Wilman, H., Belmaker, J., Simpson, J., de la Rosa, C., Rivadeneira, M. M., & Jetz, W. (2014). EltonTraits 1.0: Species_level foraging attributes of the world's birds and mammals: Ecological Archives E095_178. Ecology, 95(7), 2027-2027.",Non-islandic,60,60,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",39.5,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",1920.4777,"Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G. G., ... & Rondinini, C. (2013). Generation length for mammals. Nature Conservation, 5, 89.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>
Dataset_1_017,Yangochiroptera,Phyllostomidae,Artibeus hirsutus,Artibeus,hirsutus,1,0,0,0,1,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>,Stable,Least Concern,Non threatened,Endemic,Neotropic,Omnivore,Omnivore,"Wilman, H., Belmaker, J., Simpson, J., de la Rosa, C., Rivadeneira, M. M., & Jetz, W. (2014). EltonTraits 1.0: Species_level foraging attributes of the world's birds and mammals: Ecological Archives E095_178. Ecology, 95(7), 2027-2027.",Non-islandic,54,54,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",38.7,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",1920.4777,"Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G. G., ... & Rondinini, C. (2013). Generation length for mammals. Nature Conservation, 5, 89.",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>
Dataset_1_018,Yangochiroptera,Phyllostomidae,Artibeus jamaicensis,Artibeus,jamaicensis,1,0,0,0,1,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>,Stable,Least Concern,Non threatened,Non endemic,Neotropic,Frugivore,Herbivore,"Wilman, H., Belmaker, J., Simpson, J., de la Rosa, C., Rivadeneira, M. M., & Jetz, W. (2014). EltonTraits 1.0: Species_level foraging attributes of the world's birds and mammals: Ecological Archives E095_178. Ecology, 95(7), 2027-2027.",Non-islandic,302,302,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",42.2,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",1920.4777,"Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G. G., ... & Rondinini, C. (2013). Generation length for mammals. Nature Conservation, 5, 89.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>
Dataset_1_019,Yangochiroptera,Phyllostomidae,Artibeus lituratus,Artibeus,lituratus,1,1,0,0,1,1,IUCN Red List 2020-1 <https://www.iucnredlist.org/>,Stable,Least Concern,Non threatened,Non endemic,Neotropic,Frugivore,Herbivore,"Wilman, H., Belmaker, J., Simpson, J., de la Rosa, C., Rivadeneira, M. M., & Jetz, W. (2014). EltonTraits 1.0: Species_level foraging attributes of the world's birds and mammals: Ecological Archives E095_178. Ecology, 95(7), 2027-2027.",Non-islandic,1723,1723,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",60.5,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",1920.4777,"Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G. G., ... & Rondinini, C. (2013). Generation length for mammals. Nature Conservation, 5, 89.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>
Dataset_1_020,Yangochiroptera,Phyllostomidae,Artibeus obscurus,Artibeus,obscurus,1,1,0,0,1,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>,Stable,Least Concern,Non threatened,Non endemic,Neotropic,Frugivore,Herbivore,"Wilman, H., Belmaker, J., Simpson, J., de la Rosa, C., Rivadeneira, M. M., & Jetz, W. (2014). EltonTraits 1.0: Species_level foraging attributes of the world's birds and mammals: Ecological Archives E095_178. Ecology, 95(7), 2027-2027.",Non-islandic,1301,1301,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",35.2,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",1920.4777,"Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G. G., ... & Rondinini, C. (2013). Generation length for mammals. Nature Conservation, 5, 89.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>
